"date","close","volume","open","high","low"
"2014/08/22","190.4100","1940334.0000","190.7700","191.8800","190.2900"
"2014/08/21","191.2300","2496475.0000","190.9000","192.0700","190.5000"
"2014/08/20","190.1000","2177642.0000","189.8600","190.3900","189.2500"
"2014/08/19","190.0700","2038470.0000","190.0400","190.2500","189.3600"
"2014/08/18","189.3600","2418687.0000","188.1000","189.8100","187.7600"
"2014/08/15","187.3800","2814815.0000","187.8500","188.8800","186.7900"
"2014/08/14","187.8800","1929422.0000","187.5700","188.1700","186.9300"
"2014/08/13","187.9500","1794941.0000","188.0000","188.4800","187.3700"
"2014/08/12","187.3400","1858635.0000","187.4500","188.6900","186.8100"
"2014/08/11","187.4700","2527208.0000","187.8100","188.3600","186.2800"
"2014/08/08","186.6300","2781486.0000","184.4000","186.6700","183.5800"
"2014/08/07","184.3000","2708590.0000","186.6400","186.6800","183.5800"
"2014/08/06","185.9700","3847041.0000","185.3600","186.8800","184.4400"
"2014/08/05","187.1000","3307945.0000","188.7500","189.1960","186.4400"
"2014/08/04","189.6400","2125035.0000","189.3500","189.9500","188.6000"
"2014/08/01","189.1500","5178022.0000","190.5000","191.5000","188.8600"
"2014/07/31","191.6700","4207339.0000","192.8400","194.2900","191.5400"
"2014/07/30","194.0000","3943779.0000","195.2000","195.9900","192.9000"
"2014/07/29","194.5700","3264124.0000","195.3000","195.8900","194.5400"
"2014/07/28","195.7800","3242107.0000","194.3000","196.4000","193.6500"
"2014/07/25","194.4000","3376430.0000","195.3000","195.9000","193.7901"
"2014/07/24","195.2400","3503667.0000","193.9500","195.6200","193.7500"
"2014/07/23","193.6300","3584165.0000","194.1100","194.9000","193.5700"
"2014/07/22","194.0900","4851325.0000","191.5900","194.7200","191.5600"
"2014/07/21","190.8500","4154446.0000","191.3000","191.7000","189.2500"
"2014/07/18","192.5000","8165628.0000","191.9600","193.4400","190.0000"
"2014/07/17","192.4900","8827453.0000","192.3600","195.9500","192.0000"
"2014/07/16","192.3600","7811181.0000","192.2400","193.3600","190.7600"
"2014/07/15","188.4900","4858779.0000","189.5400","190.0800","188.2100"
"2014/07/14","189.8600","4501073.0000","188.5500","190.4400","188.5300"
"2014/07/11","188.0000","2402540.0000","187.7300","188.3500","186.7050"
"2014/07/10","187.7000","3177816.0000","186.4400","188.0500","186.2100"
"2014/07/09","188.4200","3309559.0000","187.6800","188.9000","186.8900"
"2014/07/08","187.2200","3135115.0000","187.6500","188.0800","186.3700"
